r_id,name,competition_year,time,country_code,race,gender,height (meters),weight (kg),age,birth_year,place,average_speed,meters_behind_fastest,age_difference_to_fastest
0,Usain Bolt,2012,9.63,JAM,african american,male,1.95,94,26,1986,1,10.38421599,0,0
1,Usain Bolt,2008,9.69,JAM,african american,male,1.95,94,22,1986,1,10.31991744,0.6,-4
2,Justin Gatlin,2004,9.85,USA,african american,male,1.85,83,22,1982,1,10.15228426,2.2,-4
3,Maurice Greene,2000,9.87,USA,african american,male,1.76,75,26,1974,1,10.13171226,2.4,0
4,Donovan Bailey,1996,9.84,CAN,african american,male,1.85,82,29,1967,1,10.16260163,2.1,3
5,Linford Christie,1992,9.96,GBR,african american,male,1.88,84,32,1960,1,10.04016064,3.3,6
6,Carl Lewis,1988,9.92,USA,african american,male,1.88,81,27,1961,1,10.08064516,2.9,1
7,Carl Lewis,1984,9.99,USA,african american,male,1.88,81,23,1961,1,10.01001001,3.6,-3
8,Allan Wells,1980,10.25,GBR,white,male,1.83,86,28,1952,1,9.756097561,6,2
9,Hasely Crawford,1976,10.06,TRI,african american,male,1.87,90,26,1950,1,9.940357853,4.2,0
10,Valeriy Borzov,1972,10.14,RUS,white,male,1.83,80,23,1949,1,9.861932939,5,-3
11,James Hines,1968,9.95,USA,african american,male,1.83,81,22,1946,1,10.05025126,3.2,-4
12,Bob Hayes,1964,10.06,USA,african american,male,1.83,86,22,1942,1,9.940357853,4.2,-4
13,Armin Hary,1960,10.32,GER,white,male,1.82,71,23,1937,1,9.689922481,6.6,-3
14,Bobby Morrow,1956,10.62,USA,white,male,1.86,75,21,1935,1,9.416195857,9.3,-5
15,Lindy Remigino,1952,10.79,USA,white,male,1.73,67,21,1931,1,9.267840593,10.7,-5
16,Harrison Dillard,1948,10.3,USA,white,male,1.78,69,25,1923,1,9.708737864,6.5,-1
17,Jesse Owens,1936,10.3,USA,white,male,1.78,71,23,1913,1,9.708737864,6.5,-3
18,Eddie Tolan,1932,10.3,USA,white,male,1.7,65,24,1908,1,9.708737864,6.5,-2
